SYMBOL,NAME OF COMPANY,SECTOR
20MICRONS,20 Microns Limited,Telecommunications
21STCENMGM,21st Century Management Services Limited,Technology
360ONE,360 ONE WAM LIMITED,Telecommunications
3IINFOLTD,3i Infotech Limited,Technology
3MINDIA,3M India Limited,Telecommunications
3PLAND,3P Land Holdings Limited,Financial Services
5PAISA,5Paisa Capital Limited,Financial Services
63MOONS,63 moons technologies limited,Technology
A2ZINFRA,A2Z Infra Engineering Limited,RealEstate
AAATECH,AAA Technologies Limited,Technology
AADHARHFC,Aadhar Housing Finance Limited,Financial Services
AAKASH,Aakash Exploration Services Limited,RealEstate
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare
AARON,Aaron Industries Limited,Healthcare
AARTECH,Aartech Solonics Limited,Technology
AARTIDRUGS,Aarti Drugs Limited,Healthcare
AARTIIND,Aarti Industries Limited,Healthcare
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare
AARTISURF,Aarti Surfactants Limited,Utilities
AARVEEDEN,Aarvee Denims & Exports Limited,Technology
AARVI,Aarvi Encon Limited,RealEstate
AAVAS,Aavas Financiers Limited,Utilities
ABAN,Aban Offshore Limited,Consumer Goods
ABB,ABB India Limited,RealEstate
ABBOTINDIA,Abbott India Limited,Consumer Goods
ABCAPITAL,Aditya Birla Capital Limited,Financial Services
ABDL,Allied Blenders and Distillers Limited,Telecommunications
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Goods
ABINFRA,A B Infrabuild Limited,RealEstate
ABMINTLLTD,ABM International Limited,Materials
ABREL,Aditya Birla Real Estate Limited,RealEstate
ABSLAMC,Aditya Birla Sun Life AMC Limited,Technology
ACC,ACC Limited,Materials
ACCELYA,Accelya Solutions India Limited,Technology
ACCURACY,Accuracy Shipping Limited,Financial Services
ACE,Action Construction Equipment Limited,RealEstate
ACEINTEG,Ace Integrated Solutions Limited,Technology
ACI,Archean Chemical Industries Limited,Technology
ACL,Andhra Cements Limited,RealEstate
ACLGATI,Allcargo Gati Limited,Energy
ACMESOLAR,Acme Solar Holdings Limited,Energy
ADANIENSOL,Adani Energy Solutions Limited,Technology
ADANIENT,Adani Enterprises Limited,Financial Services
ADANIGREEN,Adani Green Energy Limited,Energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Healthcare
ADANIPOWER,Adani Power Limited,Energy
ADFFOODS,ADF Foods Limited,Consumer Goods
ADL,Archidply Decor Limited,Industrials
ADORWELD,Ador Welding Limited,Telecommunications
ADROITINFO,Adroit Infotech Limited,Technology
ADSL,Allied Digital Services Limited,Technology
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Goods
ADVENZYMES,Advanced Enzyme Technologies Limited,Technology
AEGISLOG,Aegis Logistics Limited,RealEstate
AEROFLEX,Aeroflex Industries Limited,Technology
AETHER,Aether Industries Limited,Financial Services
AFCONS,Afcons Infrastructure Limited,RealEstate
AFFLE,Affle (India) Limited,Technology
AFFORDABLE,Affordable Robotic & Automation Limited,Financial Services
AFIL,Akme Fintrade (India) Limited,Technology
